crop_type,soil_moisture,temperature,rainfall,humidity,irrigate
Rice,44.27,15.92,163.22,56.89,0
Maize,35.9,35.03,284.21,67.82,0
Cotton,25.48,29.04,270.76,46.71,0
Wheat,19.31,30.73,282.98,59.48,1
Soybean,43.19,37.53,43.72,80.81,0
Maize,49.85,29.07,187.07,37.96,0
Soybean,54.94,31.69,179.45,37.47,0
Rice,44.04,27.17,36.38,79.54,0
Cotton,20.04,27.58,75.08,63.7,0
Maize,15.34,36.25,13.71,84.89,1
Maize,19.94,36.7,116.0,48.54,0
Cotton,49.46,21.1,39.33,44.12,0
Soybean,46.51,21.33,256.43,47.51,1
Rice,24.32,15.34,21.18,89.19,1
Soybean,38.7,36.41,64.41,71.64,1
Wheat,41.83,18.05,121.85,50.91,0
Maize,23.93,25.0,113.16,63.78,1
Wheat,38.03,21.83,146.15,88.6,0
Maize,10.42,27.01,3.24,56.86,0
Cotton,39.31,26.88,195.98,52.49,1
Wheat,18.86,15.48,195.78,44.44,0
Wheat,20.92,25.41,203.04,64.95,1
Soybean,38.17,22.09,69.88,74.64,0
Rice,24.52,25.28,201.21,35.58,0
Rice,23.86,24.98,179.09,79.15,0
Soybean,26.02,27.25,218.84,83.26,0
Soybean,41.35,16.37,188.57,68.68,1
Cotton,19.87,28.62,244.8,53.77,0
Rice,11.36,28.21,285.76,65.34,1
Maize,43.49,17.74,278.48,71.44,0
Rice,26.99,24.47,153.33,45.36,0
Wheat,48.66,26.88,174.1,32.7,1
Soybean,53.15,19.09,15.62,65.62,1
Cotton,37.99,21.09,218.96,34.59,1
Wheat,34.7,21.0,196.11,55.45,1
Wheat,50.03,29.77,170.87,33.73,1
Wheat,11.49,39.01,154.19,69.78,1
Maize,12.93,30.61,202.03,35.18,1
Rice,12.3,23.29,161.39,82.55,0
Wheat,48.84,25.22,209.38,45.58,0
Wheat,25.7,24.81,71.19,78.18,1
Soybean,54.85,18.05,108.43,53.22,1
Rice,49.2,31.22,98.9,41.8,0
Cotton,11.3,34.77,8.49,83.38,1
Maize,31.07,38.01,244.12,66.98,1
Rice,53.48,18.32,175.7,37.07,1
Rice,47.07,33.39,138.57,55.75,0
Rice,13.69,19.64,34.51,78.67,0
Rice,34.23,23.24,274.82,33.46,0
Soybean,42.2,38.65,138.03,37.51,1
Soybean,17.39,23.98,65.88,49.12,0
Soybean,17.79,39.04,80.59,53.13,0
Cotton,45.06,23.11,48.25,76.37,1
Wheat,23.02,35.38,32.44,69.73,0
Soybean,48.75,22.85,231.2,32.89,0
Maize,30.29,24.97,241.47,37.5,1
Wheat,56.85,36.95,33.72,41.08,1
Soybean,25.48,19.09,73.76,85.71,1
Maize,38.75,22.36,141.69,40.28,0
Soybean,38.33,26.45,120.88,35.5,0
Wheat,31.75,17.87,286.93,65.0,0
Wheat,18.69,17.11,38.13,33.37,1
Rice,26.33,16.78,141.1,31.59,0
Wheat,53.73,36.72,117.09,63.03,0
Rice,21.29,30.81,66.51,58.95,0
Soybean,41.04,34.09,293.88,45.52,1
Wheat,14.48,28.39,265.41,62.62,1
Maize,31.83,27.91,156.65,45.01,1
Wheat,41.3,22.68,232.24,77.14,0
Wheat,58.93,32.02,68.02,57.28,1
Wheat,38.21,34.83,133.43,87.72,1
Maize,44.36,25.41,113.18,30.17,1
Maize,22.13,22.33,267.75,66.81,0
Soybean,50.89,23.17,182.86,72.26,1
Rice,23.86,34.54,107.02,34.42,0
Soybean,33.46,25.0,135.67,88.11,1
Maize,23.82,33.18,96.5,55.19,0
Wheat,10.53,33.67,88.77,86.38,1
Soybean,22.41,27.82,89.69,30.47,0
Maize,40.23,17.97,190.36,37.14,0
Rice,52.89,21.69,72.41,33.88,0
Cotton,18.13,18.69,90.49,72.27,1
Cotton,12.98,21.36,285.55,85.54,0
Cotton,29.94,34.0,100.54,53.03,1
Wheat,58.64,19.86,274.69,75.76,1
Wheat,48.84,25.22,209.38,45.58,0
Rice,57.26,24.4,4.96,68.52,1
Soybean,10.47,26.37,280.79,81.99,0
Cotton,41.51,22.46,5.39,52.51,0
Maize,48.75,34.08,33.13,61.62,1
Maize,43.65,33.79,253.47,48.93,0
Maize,41.37,32.67,129.19,46.63,0
Cotton,39.64,31.21,36.98,54.78,0
Maize,56.09,17.37,246.44,58.31,0
Rice,13.48,34.05,172.97,55.41,1
Wheat,50.52,20.91,123.02,52.88,1
Wheat,21.75,29.8,53.37,77.92,1
Soybean,38.42,24.14,106.36,76.64,1
Soybean,12.34,37.92,2.99,86.58,1
Wheat,31.43,28.2,196.95,69.93,1
Wheat,10.61,26.13,94.87,41.35,0
Cotton,55.05,35.33,221.53,50.92,0
Maize,38.85,17.46,223.17,83.97,1
Rice,23.31,30.85,211.37,34.35,1
Cotton,45.94,28.58,235.01,64.62,1
Wheat,55.21,31.95,7.49,75.36,0
Maize,22.75,35.5,46.17,49.41,1
Maize,45.57,22.37,149.7,75.37,1
Rice,22.04,25.96,50.4,37.46,0
Wheat,55.91,31.8,217.09,83.14,0
Rice,23.86,34.54,107.02,34.42,0
Cotton,14.26,28.32,230.73,61.46,0
Wheat,35.89,38.69,166.01,72.37,1
Maize,20.2,17.81,28.69,89.53,1
Maize,30.39,35.69,29.99,48.24,0
Maize,25.37,19.49,101.78,73.92,0
Maize,22.22,31.47,286.52,63.01,0
Wheat,28.35,37.82,186.0,51.76,0
Wheat,47.27,25.94,145.32,88.53,1
Wheat,27.48,25.29,63.46,57.63,0
Soybean,39.33,27.94,264.8,44.3,0
Rice,33.11,38.85,82.46,77.87,0
Wheat,44.71,22.55,1.52,61.92,1
Maize,43.47,38.36,69.39,81.52,1
Cotton,10.04,23.67,271.97,73.14,0
Cotton,53.7,24.49,89.56,69.1,0
Rice,49.24,35.92,195.17,40.27,1
Cotton,15.44,23.82,165.2,81.82,0
Cotton,26.46,16.54,151.79,70.74,0
Wheat,44.26,36.29,6.81,58.59,1
Cotton,13.29,37.08,25.91,55.48,0
Wheat,58.88,39.63,291.88,34.17,1
Wheat,32.14,15.61,135.96,67.94,0
Rice,22.12,38.33,248.84,71.08,0
Soybean,52.88,19.71,67.05,39.57,0
Rice,57.27,18.98,137.07,70.56,0
Maize,43.39,35.68,213.75,78.78,0
Cotton,22.57,25.54,168.93,78.57,0
Rice,37.01,33.07,13.26,63.54,1
Maize,38.72,32.22,45.91,34.91,1
Rice,34.04,39.03,259.86,64.31,1
Cotton,24.06,32.67,276.7,52.39,0
Rice,12.72,15.24,243.95,38.16,1
Rice,53.65,33.62,234.66,68.34,0
Rice,25.87,31.08,276.97,46.33,1
Cotton,59.18,15.38,103.09,77.01,1
Wheat,28.16,22.54,18.63,76.48,1
Cotton,33.78,38.72,286.21,55.6,0
Rice,14.46,17.98,291.03,41.17,1
Rice,22.75,25.9,191.68,54.11,1
Maize,45.4,28.79,41.71,41.32,1
Rice,14.92,27.97,37.4,56.47,1
Rice,16.59,16.17,207.81,61.66,1
Maize,59.31,24.88,137.88,61.35,1
Rice,53.72,19.94,133.01,46.45,0
Wheat,24.1,15.95,102.45,82.93,0
Wheat,21.75,29.8,53.37,77.92,1
Soybean,35.52,34.96,240.92,65.42,0
Soybean,55.18,19.56,54.21,52.85,1
Cotton,18.15,29.43,65.33,80.31,1
Rice,27.51,36.26,73.52,57.69,0
Soybean,11.51,25.45,94.34,78.9,0
Wheat,39.81,36.31,275.88,73.96,0
Wheat,40.81,32.11,258.63,61.97,0
Wheat,37.19,21.49,203.96,31.42,1
Soybean,46.54,31.68,278.92,38.44,1
Soybean,10.37,31.97,238.82,49.73,1
Cotton,42.06,39.76,171.15,35.96,0
Wheat,21.26,37.74,233.14,33.61,0
Soybean,49.95,21.63,288.95,86.26,0
Maize,31.83,27.91,156.65,45.01,1
Rice,50.19,24.18,61.97,49.67,1
Cotton,23.14,33.16,193.36,35.51,1
Soybean,44.16,20.66,256.3,48.66,0
Soybean,52.89,33.42,73.85,64.25,1
Soybean,40.72,32.84,106.28,69.92,0
Rice,49.54,36.11,139.62,44.36,1
Soybean,50.84,24.27,230.86,86.94,1
Cotton,53.57,24.76,87.28,68.6,1
Rice,53.48,18.32,175.7,37.07,1
Cotton,41.27,23.59,258.91,35.53,1
Rice,12.95,28.89,75.56,61.91,1
Soybean,44.16,20.66,256.3,48.66,0
Maize,12.93,30.61,202.03,35.18,1
Maize,25.76,25.52,76.44,48.49,1
Maize,15.9,38.17,131.9,49.75,1
Maize,48.96,35.34,239.19,38.29,1
Maize,58.62,20.48,176.97,66.03,1
Soybean,28.61,28.23,53.23,54.24,0
Wheat,58.35,28.28,41.34,42.58,1
Wheat,38.03,21.83,146.15,88.6,0
Wheat,20.14,39.45,163.27,71.59,1
Cotton,47.75,21.31,126.74,32.1,0
Soybean,57.7,36.78,268.65,78.32,0
Cotton,39.49,23.54,246.14,89.01,0
Soybean,38.55,29.1,253.46,59.85,0
Wheat,58.68,34.68,194.3,49.46,0
Soybean,38.37,25.78,169.42,85.89,0
Soybean,35.23,34.37,21.67,70.78,1
Cotton,47.0,25.19,79.84,50.34,0
Rice,28.43,24.4,278.33,54.33,1
Wheat,20.46,20.65,97.31,59.15,0
Cotton,25.79,26.78,77.98,49.93,1
Maize,13.93,32.68,134.13,40.48,1
Rice,33.11,38.85,82.46,77.87,0
Cotton,59.18,15.38,103.09,77.01,1
Soybean,32.2,28.13,201.1,38.9,1
Wheat,25.42,19.96,5.3,36.45,1
Soybean,26.38,18.06,125.73,44.2,1
Soybean,55.6,23.7,161.16,71.72,1
Rice,46.32,33.15,4.53,82.64,1
Maize,48.31,16.75,241.55,57.29,0
Soybean,39.33,27.94,264.8,44.3,0
Cotton,30.31,15.61,160.49,31.57,0
Maize,53.67,39.73,269.66,47.32,0
Cotton,39.31,31.89,157.72,39.33,1
Maize,26.81,35.36,136.09,69.61,0
Cotton,42.89,32.67,199.36,65.09,0
Wheat,54.21,33.05,68.95,70.31,1
Soybean,12.62,35.03,199.89,49.26,0
Maize,54.31,26.21,99.95,45.71,1
Maize,31.96,38.43,83.53,80.28,1
Maize,22.89,38.52,158.96,47.27,0
Soybean,53.15,38.9,57.78,73.9,0
Soybean,30.29,39.07,34.38,58.04,0
Wheat,52.54,24.8,41.35,76.21,1
Rice,46.32,33.15,4.53,82.64,1
Cotton,52.15,27.03,179.37,61.64,0
Wheat,44.4,35.95,270.02,35.84,1
Rice,24.01,21.7,59.63,42.36,1
Cotton,22.13,33.59,20.73,68.53,0
Soybean,46.55,39.06,230.31,35.47,1
Rice,53.93,22.8,115.37,31.21,1
Maize,17.24,15.32,52.37,75.43,1
Cotton,25.5,23.92,15.6,34.92,1
Wheat,54.81,18.96,120.94,38.47,0
Wheat,32.63,24.39,29.88,39.31,1
Wheat,39.08,24.42,255.72,38.26,1
Soybean,55.6,23.7,161.16,71.72,1
Wheat,20.45,22.81,67.05,60.49,1
Maize,43.65,33.79,253.47,48.93,0
Wheat,55.77,33.86,286.38,45.99,1
Rice,57.26,24.4,4.96,68.52,1
Soybean,25.8,27.38,19.93,88.27,1
Wheat,42.4,37.05,93.64,79.38,0
Maize,15.06,21.63,149.32,36.91,0
Rice,32.98,18.69,85.28,59.25,1
Rice,54.3,34.76,196.02,84.65,1
Soybean,49.68,27.42,174.48,53.81,1
Maize,35.12,27.73,19.9,74.05,0
Cotton,30.46,34.87,148.85,44.41,1
Rice,59.25,38.04,162.51,49.36,0
Cotton,18.13,18.69,90.49,72.27,1
Maize,10.05,27.29,176.32,31.46,1
Soybean,38.79,28.38,284.42,86.46,0
Rice,59.02,18.93,258.68,38.59,0
Cotton,40.29,25.97,267.21,86.48,1
Wheat,21.75,29.8,53.37,77.92,1
Wheat,33.08,30.65,68.19,52.87,1
Soybean,30.23,18.34,75.29,70.34,1
Soybean,11.57,39.13,156.62,41.37,1
Wheat,35.89,38.69,166.01,72.37,1
Wheat,44.35,31.23,44.16,41.83,0
Cotton,52.51,32.46,143.01,32.84,1
Cotton,24.1,35.07,183.42,30.47,1
Wheat,40.94,18.29,45.88,82.27,0
Maize,43.39,35.68,213.75,78.78,0
Rice,21.91,25.76,194.59,85.15,1
Rice,42.59,21.77,12.12,40.34,1
Maize,50.85,30.37,266.99,58.19,0
Rice,29.79,15.32,93.26,63.98,1
Wheat,33.08,30.65,68.19,52.87,1
Maize,31.85,35.88,69.48,55.28,1
Wheat,42.77,20.51,88.26,56.61,1
Wheat,29.03,35.96,281.16,56.72,0
Wheat,28.09,32.15,6.84,41.74,1
Maize,34.42,38.96,192.25,89.8,0
Rice,47.07,33.39,138.57,55.75,0
Soybean,58.1,28.73,265.58,45.57,1
Rice,26.51,18.15,179.32,71.85,0
Soybean,32.31,37.39,64.13,41.93,1
Soybean,25.76,24.23,257.53,66.13,0
Cotton,22.64,20.43,169.71,56.71,0
Wheat,25.95,21.0,237.05,77.82,0
Wheat,20.02,15.04,221.03,85.92,1
Wheat,13.85,15.15,204.7,36.47,1
Rice,49.0,34.22,110.31,59.62,1
Cotton,28.63,18.57,221.86,57.35,1
Wheat,22.27,36.69,142.59,87.91,0
Rice,49.02,25.06,147.31,55.23,0
Rice,56.18,28.29,39.11,60.77,1
Cotton,29.53,15.94,14.01,89.78,1
Cotton,17.76,26.51,23.84,35.91,0
Rice,34.41,15.51,0.12,48.53,0
Wheat,27.08,32.61,229.8,43.25,0
Soybean,47.1,31.2,173.4,56.85,1
Maize,30.59,30.58,191.99,82.36,1
Wheat,38.26,32.74,252.63,39.71,0
Cotton,10.89,17.02,209.7,83.46,0
Wheat,49.34,26.63,14.04,80.85,1
Rice,14.01,28.27,279.62,70.0,0
Cotton,28.44,17.46,183.22,52.87,1
Cotton,17.21,28.16,54.23,87.64,1
Rice,58.9,39.57,130.11,48.53,0
Cotton,20.9,29.83,58.2,38.47,1
Wheat,30.76,24.27,139.39,44.68,1
Soybean,16.2,28.9,150.92,36.46,0
Rice,42.93,20.56,151.45,89.12,1
Soybean,45.3,38.73,84.02,40.74,1
Rice,28.81,29.72,128.81,63.65,1
Cotton,42.78,20.44,190.86,52.81,1
Rice,48.32,32.2,244.55,52.35,0
Cotton,26.58,34.06,195.31,71.09,1
Soybean,10.9,20.88,4.35,64.06,0
Cotton,42.82,31.05,120.93,73.62,1
Cotton,37.15,38.72,40.84,37.74,0
Soybean,38.82,15.77,88.68,89.97,0
Maize,56.74,38.33,165.72,85.37,0
Maize,44.81,31.12,262.01,40.08,1
Rice,33.84,21.19,243.22,38.95,0
Maize,23.68,35.38,111.44,76.28,0
Wheat,58.63,28.12,106.65,75.48,0
Wheat,38.1,31.68,189.89,55.59,1
Rice,16.33,22.08,137.09,51.91,0
Maize,39.44,37.04,140.75,63.9,0
Cotton,17.7,32.22,292.47,70.39,0
Rice,26.29,36.19,225.71,43.97,0
Rice,30.11,34.94,242.18,82.68,1
Wheat,26.61,16.28,127.94,62.22,1
Rice,47.46,30.01,132.03,36.31,1
Cotton,12.44,25.04,206.1,84.35,0
Cotton,27.36,27.94,10.65,85.7,0
Soybean,20.36,17.12,133.21,81.49,1
Soybean,17.29,28.06,234.51,88.4,0
Wheat,33.05,37.32,295.35,78.01,0
Wheat,17.54,17.3,44.93,56.84,0
Wheat,58.63,28.12,106.65,75.48,0
Maize,58.84,26.14,249.52,64.01,1
Rice,36.11,27.62,150.59,52.41,1
Soybean,43.21,39.7,244.17,69.21,1
Soybean,25.78,20.42,18.97,65.69,1
Maize,44.95,30.61,98.35,50.75,0
Cotton,44.58,29.02,118.29,88.4,1
Wheat,26.18,35.87,294.69,43.95,0
Wheat,40.81,32.11,258.63,61.97,0
Wheat,49.45,35.35,137.91,69.85,1
Maize,59.8,32.44,250.18,67.59,0
Rice,50.71,35.32,51.08,44.97,1
Soybean,16.16,22.74,270.42,37.5,0
Wheat,42.7,22.43,167.6,37.16,1
Cotton,39.06,36.39,256.86,58.2,1
Maize,10.06,20.9,261.9,55.62,1
Wheat,56.8,15.21,150.76,54.47,1
Soybean,47.24,18.44,101.94,45.17,0
Rice,27.51,36.26,73.52,57.69,0
Soybean,59.68,15.88,143.26,54.95,1
Cotton,48.93,34.37,208.8,66.28,0
Soybean,40.88,31.21,151.59,40.97,1
Cotton,44.75,36.55,205.83,76.94,1
Soybean,30.23,18.34,75.29,70.34,1
Cotton,17.55,19.21,297.73,55.64,1
Rice,27.32,26.27,10.8,41.85,0
Cotton,23.19,18.67,285.03,86.3,0
Soybean,44.9,18.54,134.38,70.14,1
Cotton,39.54,36.01,116.66,41.57,1
Wheat,37.19,21.49,203.96,31.42,1
Cotton,10.04,23.67,271.97,73.14,0
Maize,57.13,24.37,82.76,80.08,0
Cotton,10.1,15.04,129.8,68.73,1
Rice,43.27,28.65,253.97,71.18,0
Cotton,47.44,35.48,30.71,70.09,1
Cotton,27.58,35.39,3.85,42.59,1
Maize,32.52,17.22,154.68,73.67,0
Maize,36.37,33.28,74.89,38.15,0
Rice,37.4,23.13,250.93,38.0,0
Wheat,53.55,32.7,94.52,62.58,0
Soybean,31.81,29.87,34.91,72.17,0
Cotton,24.38,35.86,237.57,48.41,1
Maize,25.76,25.52,76.44,48.49,1
Rice,14.8,35.33,133.17,84.56,1
Rice,54.74,26.54,289.82,33.39,1
Maize,44.62,28.63,18.6,38.27,0
Maize,27.22,32.3,126.55,60.99,0
Maize,58.7,36.29,164.47,46.26,0
Maize,40.28,36.94,204.36,57.24,0
Maize,25.02,31.18,274.76,65.49,1
Maize,44.32,22.08,15.54,34.96,0
Soybean,19.08,29.39,101.63,69.07,0
Cotton,35.49,38.89,291.09,73.54,0
Wheat,17.52,37.81,225.06,70.4,1
Rice,31.33,27.76,115.07,68.37,0
Soybean,30.29,39.07,34.38,58.04,0
Rice,30.64,31.61,23.45,55.1,0
Rice,57.26,24.4,4.96,68.52,1
Maize,40.28,36.94,204.36,57.24,0
Rice,52.89,21.69,72.41,33.88,0
Rice,14.51,19.43,133.98,89.54,1
Cotton,12.45,35.21,246.16,79.34,0
Soybean,51.83,19.91,283.14,58.92,0
Maize,29.28,26.46,93.62,75.7,0
Wheat,22.54,35.66,243.03,70.15,1
Rice,11.26,39.9,212.82,85.11,0
Cotton,16.55,39.84,153.11,82.32,1
Cotton,30.74,15.83,221.94,49.31,1
Soybean,12.34,37.92,2.99,86.58,1
Maize,25.48,30.3,245.72,88.25,1
Cotton,32.59,32.98,10.11,46.83,0
Cotton,10.03,22.07,28.93,82.07,1
Cotton,26.04,25.05,101.73,86.33,1
Cotton,25.68,24.76,256.97,67.85,0
Cotton,30.94,32.69,202.07,56.6,0
Rice,40.22,15.13,249.07,68.14,1
Maize,43.8,18.81,125.0,87.33,1
Wheat,49.34,26.63,14.04,80.85,1
Cotton,41.45,28.43,3.67,88.3,1
Wheat,25.95,21.0,237.05,77.82,0
Rice,42.82,24.0,266.68,89.33,1
Cotton,29.53,15.94,14.01,89.78,1
Maize,50.85,30.37,266.99,58.19,0
Soybean,26.89,33.0,40.34,31.81,1
Rice,32.98,18.69,85.28,59.25,1
Cotton,41.14,26.89,5.09,43.69,0
Soybean,59.07,33.53,252.49,64.98,0
Soybean,50.8,18.82,166.45,59.92,1
Cotton,18.46,29.2,219.64,82.79,1
Soybean,54.09,17.58,248.12,50.35,1
Maize,14.6,24.35,129.58,60.74,0
Rice,49.32,22.49,2.11,71.46,0
Wheat,11.49,39.01,154.19,69.78,1
Maize,57.65,35.21,193.82,84.88,0
Cotton,49.16,22.04,213.53,76.1,0
Soybean,36.88,30.61,193.39,74.28,1
Maize,57.32,28.83,297.38,77.06,0
Wheat,23.29,39.08,5.37,50.58,1
Soybean,25.8,27.38,19.93,88.27,1
Soybean,41.01,35.15,111.57,30.94,1
Rice,54.89,16.84,48.69,48.31,0
Soybean,45.4,35.64,37.86,50.35,0
Wheat,50.74,26.52,187.38,58.7,0
Cotton,12.44,25.04,206.1,84.35,0
Rice,33.07,24.55,124.37,59.1,1
Rice,56.49,22.69,299.94,80.14,1
Maize,52.25,16.23,47.16,86.27,1
Wheat,26.59,27.33,65.39,31.56,0
Cotton,34.56,17.43,140.26,83.04,1
Maize,23.82,33.18,96.5,55.19,0
Rice,39.84,35.15,26.71,53.04,1
Soybean,46.51,21.33,256.43,47.51,1
Maize,10.48,16.69,174.07,57.34,0
Rice,52.27,29.79,108.23,35.75,1
Rice,25.42,24.14,192.72,37.57,1
Soybean,25.8,27.38,19.93,88.27,1
Maize,58.84,26.14,249.52,64.01,1
Wheat,41.2,17.41,234.11,47.86,0
Maize,13.45,31.6,48.15,74.87,0
Wheat,52.54,24.8,41.35,76.21,1
Soybean,10.9,20.88,4.35,64.06,0
Soybean,47.1,31.2,173.4,56.85,1
Rice,39.88,21.19,100.73,33.16,0
Cotton,39.49,23.54,246.14,89.01,0
Rice,42.92,31.21,172.89,72.75,0
Maize,42.86,18.43,211.41,60.06,1
Cotton,40.18,17.66,161.35,66.13,1
Soybean,55.18,19.56,54.21,52.85,1
Maize,23.05,32.76,126.99,34.89,0
Cotton,55.84,26.76,61.47,38.5,1
Soybean,17.39,23.98,65.88,49.12,0
Wheat,36.59,26.27,106.99,83.45,1
Maize,30.23,22.02,23.39,65.04,0
Maize,24.51,17.35,167.38,89.48,1
Maize,35.12,27.73,19.9,74.05,0
Wheat,31.89,28.33,193.29,71.53,1
Wheat,44.9,24.3,273.04,64.02,0
Wheat,43.67,34.52,96.3,61.65,0
Rice,41.76,28.33,113.37,81.53,1
Cotton,46.9,19.39,241.41,32.83,0
Cotton,59.2,33.11,282.67,50.28,1
Maize,53.8,22.11,69.75,56.42,1
Cotton,41.14,26.89,5.09,43.69,0
Cotton,15.16,22.76,86.02,69.19,0
Maize,12.2,16.13,118.21,42.5,0
Maize,25.37,19.49,101.78,73.92,0
Cotton,23.82,22.69,17.84,59.24,0
Maize,19.91,17.86,95.26,85.38,0
Wheat,10.53,33.67,88.77,86.38,1
Cotton,46.26,23.66,26.78,85.62,0
Maize,17.06,28.21,269.0,64.57,0
Cotton,52.14,31.26,37.54,83.02,0
Soybean,40.88,31.21,151.59,40.97,1
Cotton,51.72,21.23,171.93,30.43,0
Soybean,47.7,37.3,294.82,67.0,1
Cotton,11.65,25.65,130.75,75.81,0
Cotton,47.85,20.08,85.76,75.07,1
Rice,45.26,31.16,80.07,83.02,0
Wheat,31.93,22.18,270.77,87.25,1
Maize,55.27,37.64,164.07,83.37,1
Wheat,21.7,39.77,124.99,42.84,0
Wheat,45.83,32.67,83.47,74.45,1
Wheat,58.42,36.13,270.65,60.49,0
Cotton,10.04,37.39,196.21,87.84,0
Wheat,44.38,19.76,128.09,80.99,1
Maize,55.27,37.64,164.07,83.37,1
Rice,28.81,25.28,222.25,82.89,1
Rice,25.87,31.08,276.97,46.33,1
Cotton,34.41,27.81,298.8,70.56,0
Rice,23.93,27.96,248.85,30.93,1
Cotton,22.28,33.94,246.37,67.0,1
Wheat,39.81,36.31,275.88,73.96,0
Maize,16.45,30.03,9.36,88.02,0
Rice,19.18,19.02,62.43,61.22,0
Wheat,18.02,22.65,1.19,34.3,1
Wheat,18.69,17.11,38.13,33.37,1
Wheat,10.39,30.91,140.02,76.14,1
Soybean,47.83,25.12,210.96,68.52,1
Wheat,33.74,30.45,195.22,46.07,1
Wheat,24.93,27.8,167.52,68.54,0
Wheat,41.83,18.05,121.85,50.91,0
Cotton,11.65,25.65,130.75,75.81,0
Rice,47.56,33.79,157.98,77.55,0
Cotton,10.69,26.44,7.83,70.52,0
Wheat,13.84,32.32,39.71,38.73,1
Wheat,40.1,39.63,186.82,30.29,0
Cotton,48.29,18.63,89.88,88.27,0
Rice,57.4,15.15,101.2,35.09,0
Soybean,28.13,32.72,214.72,87.67,0
Rice,19.11,21.24,152.11,81.22,0
Maize,42.17,15.54,61.6,53.6,0
Cotton,44.29,22.05,136.07,74.18,0
Wheat,42.15,20.58,65.92,54.75,0
Soybean,48.82,36.46,40.79,35.17,0
Soybean,10.9,20.88,4.35,64.06,0
Wheat,52.9,37.75,18.88,68.01,1
Rice,21.73,33.8,132.8,34.79,0
Maize,32.28,20.3,221.79,45.11,0
Cotton,30.37,31.01,23.28,57.08,1
Wheat,49.11,16.79,187.78,58.01,0
Maize,31.56,33.36,27.62,61.64,1
Soybean,57.36,38.2,117.07,52.66,0
Soybean,38.82,15.77,88.68,89.97,0
Rice,25.87,31.08,276.97,46.33,1
Cotton,11.04,30.02,0.39,41.88,1
Cotton,17.08,31.52,115.89,81.66,1
Soybean,21.78,23.36,59.87,68.93,0
Cotton,19.31,16.15,231.64,64.78,1
Maize,42.25,26.91,14.56,31.9,1
Cotton,20.04,27.58,75.08,63.7,0
